"","outcome","exposure","method","b","se","pval","or","cil","ciu"
"1","HNC","HMGCR","ivw",0.383326512235267,0.463014479580246,0.407731019227655,1.46715699658037,0.592039532922738,3.63582080741836
"2","HNC","HMGCR","egger",0.399937495066711,2.58909110071354,0.877238983323943,1.49173145415218,0.00932849987332258,238.54454215846
"3","HNC","HMGCR","median",0.505010259665647,0.40864001801787,0.216521155008163,1.65700252066548,0.743843827357105,3.69117448113691
"4","HNC","NPC1L1","ivw",0.00326221679853632,0.734184821543843,0.99645475665472,1.0032675436186,0.237939215871536,4.23026427313238
"5","HNC","NPC1L1","egger",-2.619152108837,8.58532101733195,0.760310335349307,0.0728646179085618,3.58545195389868e-09,1480776.37386485
"6","HNC","NPC1L1","median",0.1839085364241,0.736772006976331,0.802885945688588,1.20190588745846,0.283607341669399,5.09358380429819
"7","HNC","PCSK9","ivw",0.483268187160164,0.327019578184162,0.139462419978015,1.6213646758975,0.854114357498322,3.0778354083029
"8","HNC","PCSK9","egger",0.73820595574251,2.3810534108439,0.756535598503203,2.0921786843879,0.019670037708796,222.531939806587
"9","HNC","PCSK9","median",0.58856398427605,0.358485889091779,0.100630388333233,1.80139971881687,0.892196964690921,3.63713515667213
"10","HNC","LDLR","ivw",-0.577831375994837,0.266562298920498,0.0301802968849033,0.561113893137261,0.332773406400926,0.946135703801771
"11","HNC","LDLR","egger",-0.494829547000871,0.503548356679095,0.325762368254766,0.609674819341448,0.22723187068016,1.63578895964914
"12","HNC","LDLR","median",-0.578256969332286,0.271521040108745,0.033196811853107,0.560875137612776,0.329414577357316,0.954969638914685
"13","HNC","CETP","ivw",0.491876787126286,0.610580465376867,0.420479983060824,1.63538260660044,0.494177297178702,5.41197720988004
"14","HNC","CETP","egger",0.0354857350578188,2.00111584190791,0.985851875386434,1.03612286778984,0.0205129001511735,52.3353884260793
"15","HNC","CETP","median",0.531037223110918,0.535749660675751,0.321585962798488,1.70069539467167,0.595096255950707,4.86033107507403
