"","mr_results_hnc$outcome","mr_results_hnc$exposure","mr_results_hnc$nsnp","mr_results_hnc$method","mr_results_hnc$b","mr_results_hnc$se","mr_results_hnc$pval","mr_results_hnc$or","mr_results_hnc$cil","mr_results_hnc$ciu"
"1","outcome","HDL cholesterol || id:ieu-a-299",85,"MR Egger",-0.00705890091805779,0.18777623487251,0.970103184852846,0.992965954604418,0.687220332517366,1.43473838061761
"2","outcome","HDL cholesterol || id:ieu-a-299",85,"Weighted median",-0.0421675527166514,0.148049997366798,0.775782294789042,0.958709132794696,0.717239439694052,1.28147331342518
"3","outcome","HDL cholesterol || id:ieu-a-299",85,"Inverse variance weighted",-0.142158575521453,0.0990062781031613,0.151043846851783,0.867483683900854,0.714472421552874,1.05326380575839
"4","outcome","HDL cholesterol || id:ieu-a-299",85,"Simple mode",-0.0527492300078292,0.25602550591315,0.837265111065082,0.948617867552814,0.574325355625768,1.56683985797557
"5","outcome","HDL cholesterol || id:ieu-a-299",85,"Weighted mode",-0.0323888534505254,0.149739968909842,0.829277817363104,0.9681300481659,0.72189239216931,1.29835942354949
"6","outcome","LDL cholesterol || id:ieu-a-300",77,"MR Egger",0.0556150490143611,0.12129412783793,0.647909157452339,1.05719063881705,0.833500112725303,1.34091409195854
"7","outcome","LDL cholesterol || id:ieu-a-300",77,"Weighted median",0.0415797112135669,0.122189400582243,0.733638886100183,1.04245625399284,0.820442447655781,1.32454755917836
"8","outcome","LDL cholesterol || id:ieu-a-300",77,"Inverse variance weighted",0.0256452921060392,0.0831275327523481,0.757697797722357,1.02597696179541,0.871722035874767,1.20752795365399
"9","outcome","LDL cholesterol || id:ieu-a-300",77,"Simple mode",0.187527003690388,0.230307980271892,0.418048906883254,1.20626282252897,0.768068284526895,1.894453951984
"10","outcome","LDL cholesterol || id:ieu-a-300",77,"Weighted mode",0.0237086803990376,0.114102727830322,0.83595369515782,1.023991965504,0.818785883229057,1.28062728839624
"11","outcome","Total cholesterol || id:ieu-a-301",82,"MR Egger",0.00715292353237422,0.148240207204127,0.961635469235548,1.00717856679487,0.753220035093787,1.34676272290695
"12","outcome","Total cholesterol || id:ieu-a-301",82,"Weighted median",0.00286922393193792,0.131856549876706,0.982639248298288,1.00287334409454,0.774475220500335,1.2986276612512
"13","outcome","Total cholesterol || id:ieu-a-301",82,"Inverse variance weighted",0.00467011986589174,0.0921311957925923,0.959572635624232,1.00468104187141,0.838695958401816,1.20351598905909
"14","outcome","Total cholesterol || id:ieu-a-301",82,"Simple mode",0.0660753341218703,0.250231317851221,0.792406656492655,1.06830719411898,0.654176524461625,1.74460595623731
"15","outcome","Total cholesterol || id:ieu-a-301",82,"Weighted mode",0.0134282848785965,0.118608878993976,0.910140363130775,1.01351884921653,0.803285474742457,1.27877384817215
"16","outcome","Triglycerides || id:ieu-a-302",54,"MR Egger",-0.109076466292164,0.169691449984314,0.523182793011936,0.896661850469705,0.642960679490938,1.25046911846044
"17","outcome","Triglycerides || id:ieu-a-302",54,"Weighted median",-0.0411550737344113,0.164180688852785,0.802069725571493,0.959680297200544,0.695621753571931,1.32397566365022
"18","outcome","Triglycerides || id:ieu-a-302",54,"Inverse variance weighted",0.172291611393462,0.109776334094618,0.116536453060953,1.18802422410514,0.958035923354473,1.47322404374853
"19","outcome","Triglycerides || id:ieu-a-302",54,"Simple mode",0.16715523575969,0.259500578377962,0.522261348143322,1.18193773006928,0.71072770454148,1.96555838309775
"20","outcome","Triglycerides || id:ieu-a-302",54,"Weighted mode",0.00319852288721556,0.149752130134525,0.983039664634952,1.00320364361968,0.748027413828082,1.34542869949297
"21","outcome","Apolipoprotein A-I || id:met-c-842",9,"MR Egger",0.15073521754118,0.332058167813006,0.663610003028848,1.1626887577322,0.606470742676103,2.22903604779303
"22","outcome","Apolipoprotein A-I || id:met-c-842",9,"Weighted median",-0.127297878461064,0.149679714688569,0.395064681015246,0.880471360076721,0.656606667586226,1.18066089515234
"23","outcome","Apolipoprotein A-I || id:met-c-842",9,"Inverse variance weighted",-0.193007641580563,0.118117275544601,0.102251716367619,0.824475673817753,0.65408530408634,1.03925303392462
"24","outcome","Apolipoprotein A-I || id:met-c-842",9,"Simple mode",-0.21029044112054,0.248588807238094,0.422167793218615,0.810348853159026,0.497816121883148,1.31909199993786
"25","outcome","Apolipoprotein A-I || id:met-c-842",9,"Weighted mode",-0.112341416123438,0.157907271742126,0.497029395823132,0.893739068476971,0.655839182488148,1.21793504238597
"26","outcome","Apolipoprotein B || id:met-c-843",14,"MR Egger",0.0165937801499133,0.171937344221806,0.924708135747558,1.01673222161542,0.72585615708494,1.42417254490557
"27","outcome","Apolipoprotein B || id:met-c-843",14,"Weighted median",-0.141982489603144,0.129604966687675,0.273296805650921,0.867636449011449,0.673001160943784,1.11856123189671
"28","outcome","Apolipoprotein B || id:met-c-843",14,"Inverse variance weighted",0.0025017556669666,0.0975231698041144,0.979534162846792,1.00250488766897,0.82808153506097,1.21366798708555
"29","outcome","Apolipoprotein B || id:met-c-843",14,"Simple mode",-0.144973575764152,0.222486564920881,0.526007867481203,0.865045150965828,0.559312323833359,1.33789848948946
"30","outcome","Apolipoprotein B || id:met-c-843",14,"Weighted mode",-0.139626133510723,0.146241423038305,0.35711453107671,0.869683320075545,0.652946996208324,1.15836213599229
